Bank,Account Number,Loan Type,Investor Code,Borrower,Property Address,Property Type,Product Line,State,Region,Occupancy Code,Stop Code,Account Officer,Loan Closing Date,Maturity Date,Next Payment Due Date,Payment Due Amount,Delinquency Type,# Days Past Due,Total Bank Balance,Charge Off Amount,Original Appraisal Amount,Appraisal Value,Appraisal Date,FICO,Total Loan To Value,Last Payment Received Date,Last Payment Received Amount,Suspense Balance,DDA/Sav Acct#,DDA/Sav Account Balance,Latest Contact Date,Latest Attempt Date
East West Bank,EWB-1000828,Construction,FNMA,Borrower 828,"2398 Main St, Unit 34",Commercial & Multi-Family (5+ Units),LC1,GA,West,3,TRNS,Patricia Hernandez,2022-08-25,2052-08-17,2026-04-20,4024,60-Day Delinquent,60,1197937,0,1443590,1678781,2022-08-10,718,71.36,2025-12-01,3465,630,DDA-96305,38191,2026-03-07,2026-03-20
East West Bank,EWB-1000829,Construction,GNMA,Borrower 829,"7036 Main St, Unit 34",Commercial & Multi-Family (5+ Units),CS1,FL,North,2,LOSS,Emily Watson,2023-04-22,2053-04-14,2026-04-20,1794,Current,0,739282,0,940144,963465,2023-04-07,648,76.73,2025-11-06,2148,480,DDA-79013,29295,2026-03-10,2026-03-18
East West Bank,EWB-1000830,Equity,FHLMC,Borrower 830,"1745 Main St, Unit 23",Commercial & Multi-Family (5+ Units),CR1,IL,East,2,REO,Patricia Hernandez,2022-07-01,2052-06-23,2026-04-20,4260,Current,0,367774,0,388389,429188,2022-06-16,734,85.69,2025-11-26,1566,803,DDA-65772,5588,2026-03-20,2026-03-19
East West Bank,EWB-1000831,Lot Loan,EWB-INT,Borrower 831,"2624 Main St, Unit 44",Residential Property (1-4 Units),CR1,IL,South,2,PIF,Matthew Moore,2023-10-07,2053-09-29,2026-04-20,4876,30-Day Delinquent,30,772953,0,1250500,1136177,2023-09-22,602,68.03,2025-11-24,4485,344,DDA-59108,13594,2026-02-22,2026-03-20
East West Bank,EWB-1000832,Equity,FNMA,Borrower 832,"4427 Main St, Unit 50",Commercial & Multi-Family (5+ Units),HE1,NY,North,4,LEG,Karen Anderson,2022-11-17,2052-11-09,2026-04-20,3928,Current,0,1135250,0,1226299,1442761,2022-11-02,586,78.69,2025-11-29,3746,892,DDA-98624,25906,2026-03-09,2026-03-19
East West Bank,EWB-1000833,Construction,GNMA,Borrower 833,"5621 Main St, Unit 4",Commercial & Multi-Family (5+ Units),CE1,CA,North,2,DIS,Jessica Taylor,2022-04-15,2052-04-07,2026-04-20,2043,30-Day Delinquent,30,525749,0,814468,1004923,2022-03-31,719,52.32,2025-11-18,1738,9,DDA-53803,41040,2026-03-14,2026-03-19
East West Bank,EWB-1000834,Conventional,PRIV,Borrower 834,"3254 Main St, Unit 20",Commercial & Multi-Family (5+ Units),CE1,NY,North,4,BK,Karen Anderson,2022-03-29,2052-03-21,2026-04-20,1560,Current,0,761006,0,836684,966042,2022-03-14,694,78.78,2025-11-13,3789,54,DDA-25731,49505,2026-03-08,2026-03-18
East West Bank,EWB-1000835,Lot Loan,GNMA,Borrower 835,"8570 Main St, Unit 23",Residential Property (1-4 Units),LC1,MA,East,3,TRNS,Robert Brown,2023-06-26,2053-06-18,2026-04-20,3072,Current,0,663657,0,1178400,1075721,2023-06-11,610,61.69,2025-12-27,1224,997,DDA-15573,23818,2026-02-25,2026-03-19
East West Bank,EWB-1000836,Construction,PRIV,Borrower 836,"4995 Main St, Unit 1",Residential Property (1-4 Units),CS1,WA,North,1,SII,Emily Watson,2022-12-30,2052-12-22,2026-04-20,2583,Current,0,429504,0,508690,493523,2022-12-15,721,87.03,2025-11-12,2346,393,DDA-44418,34263,2026-03-20,2026-03-18
East West Bank,EWB-1000837,Construction,FNMA,Borrower 837,"9817 Main St, Unit 34",Commercial & Multi-Family (5+ Units),SP1,TX,West,4,FC,Lisa Williams,2023-06-25,2053-06-17,2026-04-20,2603,Current,0,485445,0,784122,832934,2023-06-10,726,58.28,2025-11-08,3585,588,DDA-38672,45340,2026-02-21,2026-03-18
East West Bank,EWB-1000838,Specialty,EWB-INT,Borrower 838,"894 Main St, Unit 9",Commercial & Multi-Family (5+ Units),CS1,FL,South,4,FC,Joseph White,2022-10-07,2052-09-29,2026-04-20,1116,30-Day Delinquent,30,901917,0,1198173,1547028,2022-09-22,767,58.3,2025-12-02,4384,760,DDA-33383,31126,2026-03-02,2026-03-18
East West Bank,EWB-1000839,Construction,GNMA,Borrower 839,"7980 Main St, Unit 38",Residential Property (1-4 Units),LC1,MA,East,2,DIS,James Miller,2022-02-03,2052-01-27,2026-04-20,1492,30-Day Delinquent,30,362310,0,437681,463761,2022-01-19,650,78.12,2025-11-08,1235,560,DDA-71612,17147,2026-03-01,2026-03-21
East West Bank,EWB-1000840,Lot Loan,EWB-INT,Borrower 840,"8848 Main St, Unit 2",Commercial & Multi-Family (5+ Units),SP1,IL,East,1,LOSS,Linda Garcia,2022-04-28,2052-04-20,2026-04-20,4372,Current,0,242143,0,375049,378359,2022-04-13,610,64.0,2025-12-10,1313,275,DDA-84570,14429,2026-03-05,2026-03-17
East West Bank,EWB-1000841,ARM,FNMA,Borrower 841,"5103 Main St, Unit 42",Residential Property (1-4 Units),CR1,NJ,West,4,SII,John Smith,2022-06-24,2052-06-16,2026-04-20,2398,90-Day Delinquent,120,599707,673,914357,1179483,2022-06-09,746,50.84,2025-11-14,1701,150,DDA-97934,19609,2026-03-13,2026-03-21
East West Bank,EWB-1000842,Foreign National,GNMA,Borrower 842,"1247 Main St, Unit 14",Commercial & Multi-Family (5+ Units),CS1,CA,North,2,SII,Donald Martinez,2022-02-27,2052-02-20,2026-04-20,1526,90-Day Delinquent,90,1073354,2806,1394380,1734901,2022-02-12,620,61.87,2025-12-27,1967,522,DDA-89639,28557,2026-03-11,2026-03-19
East West Bank,EWB-1000843,ARM,FNMA,Borrower 843,"9884 Main St, Unit 7",Residential Property (1-4 Units),SP1,TX,West,2,LEG,Karen Anderson,2022-05-12,2052-05-04,2026-04-20,2873,Current,0,780124,0,1493499,1468301,2022-04-27,809,53.13,2025-11-07,3087,92,DDA-50836,9502,2026-02-21,2026-03-16
East West Bank,EWB-1000844,Foreign National,EWB-INT,Borrower 844,"6967 Main St, Unit 35",Commercial & Multi-Family (5+ Units),CE1,TX,North,3,REO,Joseph White,2022-10-03,2052-09-25,2026-04-20,2712,Current,0,1156955,0,1252127,1500935,2022-09-18,582,77.08,2025-12-23,3585,144,DDA-24998,44066,2026-02-27,2026-03-18
East West Bank,EWB-1000845,Construction,GNMA,Borrower 845,"568 Main St, Unit 6",Residential Property (1-4 Units),CS1,NY,West,4,PIF,Lisa Williams,2023-06-21,2053-06-13,2026-04-20,2515,Current,0,394639,0,721107,881341,2023-06-06,712,44.78,2025-11-29,2496,917,DDA-67831,19839,2026-03-19,2026-03-19
East West Bank,EWB-1000846,ARM,FHLMC,Borrower 846,"4918 Main St, Unit 11",Commercial & Multi-Family (5+ Units),SP1,WA,South,4,LOSS,Lisa Williams,2022-03-25,2052-03-17,2026-04-20,4121,30-Day Delinquent,30,624983,0,1158559,1417851,2022-03-10,761,44.08,2025-12-30,3156,480,DDA-56936,18923,2026-03-02,2026-03-16
East West Bank,EWB-1000847,Specialty,EWB-INT,Borrower 847,"5580 Main St, Unit 34",Commercial & Multi-Family (5+ Units),SP1,MA,North,3,DIS,Joseph White,2022-03-17,2052-03-09,2026-04-20,3984,Current,0,1232091,0,1411357,1461451,2022-03-02,656,84.31,2025-12-09,3843,620,DDA-61609,31054,2026-02-27,2026-03-17
East West Bank,EWB-1000848,Equity,EWB-INT,Borrower 848,"5592 Main St, Unit 5",Residential Property (1-4 Units),CR1,MA,West,4,REO,Robert Brown,2022-04-29,2052-04-21,2026-04-20,2178,30-Day Delinquent,30,721805,0,1172378,1300954,2022-04-14,659,55.48,2025-11-20,1578,987,DDA-55758,20417,2026-02-19,2026-03-18
East West Bank,EWB-1000849,Construction,FNMA,Borrower 849,"7190 Main St, Unit 36",Commercial & Multi-Family (5+ Units),CS1,TX,West,2,PIF,Karen Anderson,2023-09-19,2053-09-11,2026-04-20,4442,Current,0,623981,0,1000538,974310,2023-09-04,610,64.04,2025-12-02,1663,587,DDA-30667,2896,2026-03-08,2026-03-18
East West Bank,EWB-1000850,Conventional,GNMA,Borrower 850,"1745 Main St, Unit 9",Residential Property (1-4 Units),HE1,VA,East,3,BK,Susan Martinez,2023-01-28,2053-01-20,2026-04-20,4653,Current,0,161286,0,209182,222009,2023-01-13,625,72.65,2025-11-20,2754,853,DDA-42857,34154,2026-03-09,2026-03-17
East West Bank,EWB-1000851,Specialty,FNMA,Borrower 851,"828 Main St, Unit 21",Residential Property (1-4 Units),CS1,NY,East,2,LEG,Susan Martinez,2022-04-26,2052-04-18,2026-04-20,3181,Current,0,396241,0,451454,471845,2022-04-11,688,83.98,2025-11-07,1023,404,DDA-69899,49634,2026-02-24,2026-03-21
East West Bank,EWB-1000852,Equity,FNMA,Borrower 852,"4411 Main St, Unit 27",Residential Property (1-4 Units),CR1,CA,East,4,LOSS,Joseph White,2023-06-25,2053-06-17,2026-04-20,4583,Current,0,1052935,0,1338554,1574114,2023-06-10,609,66.89,2025-12-12,4202,248,DDA-43124,46421,2026-03-19,2026-03-16
East West Bank,EWB-1000853,Construction,EWB-INT,Borrower 853,"1006 Main St, Unit 29",Residential Property (1-4 Units),SP1,IL,West,4,BK,Linda Garcia,2022-04-26,2052-04-18,2026-04-20,1492,Current,0,616141,0,920188,1101272,2022-04-11,648,55.95,2025-11-13,3402,71,DDA-14490,43907,2026-02-26,2026-03-18
East West Bank,EWB-1000854,Equity,FNMA,Borrower 854,"3997 Main St, Unit 8",Residential Property (1-4 Units),CR1,VA,South,3,REO,Linda Garcia,2023-12-12,2053-12-04,2026-04-20,3584,Current,0,241765,0,287084,358625,2023-11-27,641,67.41,2025-12-05,3016,424,DDA-16815,27789,2026-02-24,2026-03-18
East West Bank,EWB-1000855,Specialty,PRIV,Borrower 855,"3618 Main St, Unit 47",Commercial & Multi-Family (5+ Units),SP1,IL,East,4,LEG,Thomas Thompson,2022-12-15,2052-12-07,2026-04-20,4562,30-Day Delinquent,30,493825,0,732004,835665,2022-11-30,781,59.09,2025-11-28,4388,18,DDA-72326,19615,2026-03-15,2026-03-20
East West Bank,EWB-1000856,Equity,GNMA,Borrower 856,"9270 Main St, Unit 39",Commercial & Multi-Family (5+ Units),CR1,CA,North,4,TRNS,Margaret Harris,2023-03-22,2053-03-14,2026-04-20,4476,Current,0,479805,0,841738,1034205,2023-03-07,675,46.39,2025-12-07,4640,95,DDA-28005,17303,2026-03-02,2026-03-17
East West Bank,EWB-1000857,Foreign National,EWB-INT,Borrower 857,"2103 Main St, Unit 31",Residential Property (1-4 Units),CS1,WA,East,1,BK,Patricia Hernandez,2022-07-14,2052-07-06,2026-04-20,2889,90-Day Delinquent,90,238647,803,294539,378364,2022-06-29,775,63.07,2025-11-06,3086,348,DDA-56997,25815,2026-03-02,2026-03-18
East West Bank,EWB-1000858,Construction,PRIV,Borrower 858,"4252 Main St, Unit 15",Residential Property (1-4 Units),SP1,GA,North,2,LOSS,Richard Davis,2023-02-25,2053-02-17,2026-04-20,1470,Current,0,757545,0,1320575,1353763,2023-02-10,628,55.96,2025-11-29,3635,300,DDA-80722,2995,2026-02-21,2026-03-18
East West Bank,EWB-1000859,Lot Loan,FHLMC,Borrower 859,"3265 Main St, Unit 5",Commercial & Multi-Family (5+ Units),CR1,MA,North,2,LOSS,Michael Chen,2023-07-04,2053-06-26,2026-04-20,4573,Current,0,99013,0,162289,187441,2023-06-19,588,52.82,2025-11-04,2046,532,DDA-59635,14051,2026-02-25,2026-03-18
East West Bank,EWB-1000860,Conventional,PRIV,Borrower 860,"597 Main St, Unit 18",Commercial & Multi-Family (5+ Units),HE1,MA,North,4,LOSS,Joseph White,2023-08-04,2053-07-27,2026-04-20,2524,Current,0,1216396,0,1455944,1837796,2023-07-20,583,66.19,2025-12-16,3264,223,DDA-89605,10068,2026-02-22,2026-03-20
East West Bank,EWB-1000861,Specialty,PRIV,Borrower 861,"6682 Main St, Unit 42",Commercial & Multi-Family (5+ Units),SP1,NJ,North,3,LEG,Thomas Thompson,2023-07-23,2053-07-15,2026-04-20,4362,Current,0,639004,0,904950,965988,2023-07-08,609,66.15,2025-12-13,2962,628,DDA-74393,27277,2026-03-14,2026-03-16
East West Bank,EWB-1000862,Specialty,PRIV,Borrower 862,"3232 Main St, Unit 16",Residential Property (1-4 Units),CR1,NJ,North,2,SII,James Miller,2022-06-04,2052-05-27,2026-04-20,1477,30-Day Delinquent,30,759238,0,1378361,1498271,2022-05-20,585,50.67,2025-12-13,1407,950,DDA-64018,37880,2026-02-21,2026-03-19
East West Bank,EWB-1000863,ARM,FHLMC,Borrower 863,"9525 Main St, Unit 40",Commercial & Multi-Family (5+ Units),SP1,NY,South,2,DIS,Christopher Thomas,2023-12-03,2053-11-25,2026-04-20,3615,60-Day Delinquent,60,132796,0,213646,272287,2023-11-18,622,48.77,2025-12-10,1755,640,DDA-53870,40862,2026-03-07,2026-03-19
East West Bank,EWB-1000864,Construction,GNMA,Borrower 864,"2977 Main St, Unit 26",Commercial & Multi-Family (5+ Units),LC1,IL,North,2,SII,Richard Davis,2022-05-24,2052-05-16,2026-04-20,4631,30-Day Delinquent,30,776801,0,879532,885343,2022-05-09,615,87.74,2025-11-09,1330,595,DDA-83291,31547,2026-02-19,2026-03-19
East West Bank,EWB-1000865,Specialty,FNMA,Borrower 865,"7582 Main St, Unit 18",Residential Property (1-4 Units),CR1,VA,West,2,M,Barbara Taylor,2023-05-29,2053-05-21,2026-04-20,4932,Current,0,200409,0,305683,365204,2023-05-14,788,54.88,2025-11-02,1480,801,DDA-63072,12873,2026-03-17,2026-03-21
East West Bank,EWB-1000866,Lot Loan,EWB-INT,Borrower 866,"7088 Main St, Unit 39",Commercial & Multi-Family (5+ Units),HE1,WA,West,2,TRNS,Thomas Thompson,2023-12-22,2053-12-14,2026-04-20,4569,Current,0,644801,0,686437,720732,2023-12-07,681,89.46,2025-11-23,1485,78,DDA-97352,26262,2026-03-19,2026-03-16
East West Bank,EWB-1000867,Foreign National,FHLMC,Borrower 867,"6398 Main St, Unit 17",Commercial & Multi-Family (5+ Units),HE1,NY,East,1,TRNS,James Miller,2022-12-18,2052-12-10,2026-04-20,2102,60-Day Delinquent,60,646652,0,716956,878893,2022-12-03,696,73.58,2025-11-26,1636,451,DDA-79399,12702,2026-03-17,2026-03-17
East West Bank,EWB-1000868,ARM,FHLMC,Borrower 868,"2628 Main St, Unit 34",Commercial & Multi-Family (5+ Units),LC1,TX,South,4,DIS,Nancy Jackson,2023-06-20,2053-06-12,2026-04-20,1933,30-Day Delinquent,30,743257,0,1144170,1421656,2023-06-05,768,52.28,2025-11-22,2800,554,DDA-29149,22250,2026-03-01,2026-03-17
East West Bank,EWB-1000869,Specialty,FNMA,Borrower 869,"3630 Main St, Unit 12",Residential Property (1-4 Units),LC1,TX,East,3,BK,John Smith,2023-03-27,2053-03-19,2026-04-20,2965,Current,0,716709,0,1395077,1325540,2023-03-12,650,54.07,2025-11-21,2532,560,DDA-82423,26568,2026-03-09,2026-03-16
East West Bank,EWB-1000870,ARM,GNMA,Borrower 870,"6426 Main St, Unit 11",Residential Property (1-4 Units),HE1,TX,South,4,FC,Robert Brown,2023-08-02,2053-07-25,2026-04-20,1564,60-Day Delinquent,60,1082208,0,1339083,1707014,2023-07-18,740,63.4,2025-11-25,1882,273,DDA-83723,46018,2026-03-03,2026-03-21
East West Bank,EWB-1000871,Lot Loan,FHLMC,Borrower 871,"8849 Main St, Unit 2",Residential Property (1-4 Units),CR1,VA,South,1,SII,Matthew Moore,2023-02-06,2053-01-29,2026-04-20,4152,Current,0,643793,0,711672,809529,2023-01-22,755,79.53,2025-12-22,1815,90,DDA-77637,27250,2026-03-05,2026-03-21
East West Bank,EWB-1000872,Equity,PRIV,Borrower 872,"7906 Main St, Unit 45",Residential Property (1-4 Units),SP1,NJ,North,2,FC,Margaret Harris,2023-08-04,2053-07-27,2026-04-20,1214,30-Day Delinquent,30,193572,0,225388,229776,2023-07-20,763,84.24,2025-11-12,1781,690,DDA-61168,23221,2026-02-27,2026-03-20
East West Bank,EWB-1000873,Lot Loan,GNMA,Borrower 873,"9265 Main St, Unit 47",Commercial & Multi-Family (5+ Units),CS1,NJ,West,4,SII,James Miller,2022-07-27,2052-07-19,2026-04-20,3267,90-Day Delinquent,90,219199,2290,382601,409154,2022-07-12,601,53.57,2025-11-15,2229,283,DDA-83794,46565,2026-03-08,2026-03-18
East West Bank,EWB-1000874,Lot Loan,FNMA,Borrower 874,"7672 Main St, Unit 21",Commercial & Multi-Family (5+ Units),CR1,MA,North,3,TRNS,Donald Martinez,2023-01-18,2053-01-10,2026-04-20,3546,Current,0,1127596,0,1450035,1845358,2023-01-03,755,61.1,2025-12-31,4400,566,DDA-28710,16692,2026-03-03,2026-03-18
East West Bank,EWB-1000875,Foreign National,EWB-INT,Borrower 875,"8312 Main St, Unit 1",Commercial & Multi-Family (5+ Units),CS1,CA,South,3,REO,Karen Anderson,2023-05-02,2053-04-24,2026-04-20,3435,Current,0,352654,0,579667,660222,2023-04-17,700,53.41,2025-12-13,4359,445,DDA-92663,20080,2026-02-28,2026-03-20
East West Bank,EWB-1000876,Specialty,EWB-INT,Borrower 876,"8687 Main St, Unit 21",Residential Property (1-4 Units),CR1,CA,South,4,REO,Margaret Harris,2022-01-25,2052-01-18,2026-04-20,3338,Current,0,259944,0,448185,488907,2022-01-10,643,53.17,2026-01-01,4990,874,DDA-23457,48327,2026-03-07,2026-03-20
East West Bank,EWB-1000877,Construction,FNMA,Borrower 877,"3686 Main St, Unit 35",Commercial & Multi-Family (5+ Units),CS1,IL,East,3,REO,John Smith,2022-12-13,2052-12-05,2026-04-20,3617,60-Day Delinquent,60,311962,0,384386,380800,2022-11-28,736,81.92,2025-11-26,4042,525,DDA-73571,17674,2026-02-25,2026-03-18
East West Bank,EWB-1000878,Conventional,PRIV,Borrower 878,"3025 Main St, Unit 16",Residential Property (1-4 Units),CE1,IL,East,2,DIS,Lisa Williams,2022-09-18,2052-09-10,2026-04-20,1477,30-Day Delinquent,30,444016,0,611792,575437,2022-09-03,799,77.16,2025-11-16,4790,260,DDA-25397,33353,2026-02-20,2026-03-19
East West Bank,EWB-1000879,Equity,GNMA,Borrower 879,"9989 Main St, Unit 13",Commercial & Multi-Family (5+ Units),LC1,TX,South,4,PIF,Susan Martinez,2022-08-06,2052-07-29,2026-04-20,3853,Current,0,660078,0,801844,723326,2022-07-22,753,91.26,2025-12-16,2159,224,DDA-85127,16012,2026-03-15,2026-03-16
East West Bank,EWB-1000880,Specialty,PRIV,Borrower 880,"3706 Main St, Unit 46",Commercial & Multi-Family (5+ Units),LC1,VA,West,3,FC,Thomas Thompson,2022-04-10,2052-04-02,2026-04-20,2169,Current,0,254382,0,396242,470634,2022-03-26,732,54.05,2025-12-07,1772,33,DDA-68717,33735,2026-03-01,2026-03-16
East West Bank,EWB-1000881,Lot Loan,PRIV,Borrower 881,"1611 Main St, Unit 43",Commercial & Multi-Family (5+ Units),LC1,TX,North,1,SII,Barbara Taylor,2023-10-04,2053-09-26,2026-04-20,2589,90-Day Delinquent,90,912988,4728,1162384,1175540,2023-09-19,600,77.67,2025-11-10,2433,944,DDA-55277,15954,2026-03-20,2026-03-20
East West Bank,EWB-1000882,Construction,PRIV,Borrower 882,"607 Main St, Unit 41",Residential Property (1-4 Units),CR1,IL,West,3,TRNS,Emily Watson,2023-07-13,2053-07-05,2026-04-20,1291,Current,0,185975,0,199104,181743,2023-06-28,724,102.33,2025-11-28,4518,790,DDA-70473,14818,2026-03-19,2026-03-19
East West Bank,EWB-1000883,Equity,FHLMC,Borrower 883,"6049 Main St, Unit 16",Commercial & Multi-Family (5+ Units),HE1,WA,South,1,DIS,Lisa Williams,2022-01-29,2052-01-22,2026-04-20,2271,Current,0,982723,0,1266964,1545844,2022-01-14,612,63.57,2025-11-28,1188,500,DDA-73416,37110,2026-03-09,2026-03-16
East West Bank,EWB-1000884,Foreign National,EWB-INT,Borrower 884,"5700 Main St, Unit 17",Residential Property (1-4 Units),SP1,TX,North,3,LOSS,Nancy Jackson,2022-03-28,2052-03-20,2026-04-20,2969,30-Day Delinquent,30,530468,0,839115,902507,2022-03-13,613,58.78,2025-12-13,3178,862,DDA-31631,32219,2026-02-27,2026-03-18
East West Bank,EWB-1000885,ARM,GNMA,Borrower 885,"3480 Main St, Unit 45",Commercial & Multi-Family (5+ Units),CE1,IL,East,4,DIS,Michael Chen,2022-08-26,2052-08-18,2026-04-20,3028,Current,0,884571,0,1290234,1166139,2022-08-11,820,75.85,2025-11-23,1294,781,DDA-54861,48971,2026-03-18,2026-03-20
East West Bank,EWB-1000886,Construction,EWB-INT,Borrower 886,"433 Main St, Unit 41",Residential Property (1-4 Units),SP1,GA,North,1,LOSS,Christopher Thomas,2022-06-07,2052-05-30,2026-04-20,4386,Current,0,1221550,0,1356861,1461488,2022-05-23,632,83.58,2025-12-26,4777,999,DDA-27516,7086,2026-03-15,2026-03-18
East West Bank,EWB-1000887,ARM,EWB-INT,Borrower 887,"9929 Main St, Unit 45",Commercial & Multi-Family (5+ Units),CE1,IL,East,3,BK,Patricia Hernandez,2022-03-26,2052-03-18,2026-04-20,4185,30-Day Delinquent,30,693403,0,943853,1157253,2022-03-11,641,59.92,2025-12-09,4111,324,DDA-65237,17199,2026-03-15,2026-03-17
East West Bank,EWB-1000888,Foreign National,EWB-INT,Borrower 888,"8570 Main St, Unit 13",Commercial & Multi-Family (5+ Units),CR1,TX,North,2,FC,Christopher Thomas,2022-04-01,2052-03-24,2026-04-20,1515,Current,0,346610,0,692015,879763,2022-03-17,707,39.4,2025-11-07,1583,765,DDA-59330,33982,2026-02-24,2026-03-18
East West Bank,EWB-1000889,Lot Loan,FHLMC,Borrower 889,"4123 Main St, Unit 13",Commercial & Multi-Family (5+ Units),CS1,IL,North,3,LEG,Joseph White,2023-07-23,2053-07-15,2026-04-20,1747,Current,0,242986,0,407681,410764,2023-07-08,764,59.15,2025-12-07,3689,209,DDA-22957,12167,2026-03-04,2026-03-20
East West Bank,EWB-1000890,Specialty,GNMA,Borrower 890,"9933 Main St, Unit 37",Residential Property (1-4 Units),CE1,FL,North,4,BK,Sarah Jenkins,2022-02-14,2052-02-07,2026-04-20,1299,Current,0,755363,0,1492630,1566331,2022-01-30,800,48.22,2025-11-06,2895,385,DDA-92449,46320,2026-02-28,2026-03-19
East West Bank,EWB-1000891,Foreign National,GNMA,Borrower 891,"6483 Main St, Unit 42",Residential Property (1-4 Units),CS1,GA,South,1,REO,Jessica Taylor,2022-05-10,2052-05-02,2026-04-20,1551,30-Day Delinquent,30,623316,0,992186,982093,2022-04-25,602,63.47,2025-11-11,4629,403,DDA-20129,27813,2026-02-27,2026-03-21
East West Bank,EWB-1000892,Foreign National,FNMA,Borrower 892,"8509 Main St, Unit 11",Commercial & Multi-Family (5+ Units),CR1,CA,West,2,FC,Jessica Taylor,2022-02-01,2052-01-25,2026-04-20,3517,90-Day Delinquent,150,480336,559,604162,576371,2022-01-17,755,83.34,2025-11-23,4529,114,DDA-87410,34115,2026-03-02,2026-03-16
East West Bank,EWB-1000893,ARM,EWB-INT,Borrower 893,"9947 Main St, Unit 38",Commercial & Multi-Family (5+ Units),CE1,FL,North,1,BK,Karen Anderson,2022-02-08,2052-02-01,2026-04-20,2300,30-Day Delinquent,30,918985,0,1494613,1758423,2022-01-24,706,52.26,2025-11-02,3537,332,DDA-12944,33592,2026-02-20,2026-03-19
East West Bank,EWB-1000894,Conventional,PRIV,Borrower 894,"1386 Main St, Unit 18",Commercial & Multi-Family (5+ Units),HE1,NJ,North,2,TRNS,Sarah Jenkins,2022-01-09,2052-01-02,2026-04-20,4828,Current,0,930466,0,1158806,1077305,2021-12-25,632,86.37,2025-11-30,3227,781,DDA-87612,49560,2026-03-05,2026-03-17
East West Bank,EWB-1000895,Construction,FNMA,Borrower 895,"4179 Main St, Unit 11",Commercial & Multi-Family (5+ Units),SP1,MA,East,3,TRNS,Sandra Garcia,2023-04-09,2053-04-01,2026-04-20,1412,60-Day Delinquent,60,979286,0,1210899,1096131,2023-03-25,618,89.34,2025-11-15,2688,665,DDA-60844,32786,2026-03-07,2026-03-19
East West Bank,EWB-1000896,ARM,EWB-INT,Borrower 896,"3327 Main St, Unit 7",Residential Property (1-4 Units),CE1,WA,South,2,TRNS,Patricia Hernandez,2023-05-29,2053-05-21,2026-04-20,1676,Current,0,606143,0,785232,876733,2023-05-14,615,69.14,2025-11-11,1061,57,DDA-37438,37701,2026-03-16,2026-03-21
East West Bank,EWB-1000897,Foreign National,PRIV,Borrower 897,"7202 Main St, Unit 48",Commercial & Multi-Family (5+ Units),CE1,IL,North,2,SII,Lisa Williams,2023-03-07,2053-02-27,2026-04-20,2861,Current,0,919038,0,1477176,1706028,2023-02-20,699,53.87,2025-11-22,3253,679,DDA-64814,42793,2026-03-13,2026-03-21
East West Bank,EWB-1000898,Lot Loan,PRIV,Borrower 898,"4754 Main St, Unit 26",Residential Property (1-4 Units),SP1,TX,North,4,LOSS,Lisa Williams,2023-01-28,2053-01-20,2026-04-20,3342,Current,0,471330,0,553322,649615,2023-01-13,584,72.56,2025-12-07,3542,429,DDA-24518,5740,2026-03-20,2026-03-17
East West Bank,EWB-1000899,Conventional,GNMA,Borrower 899,"6891 Main St, Unit 7",Residential Property (1-4 Units),CS1,CA,East,2,REO,Nancy Jackson,2022-05-14,2052-05-06,2026-04-20,1529,Current,0,439707,0,527539,630010,2022-04-29,670,69.79,2025-11-07,4270,731,DDA-39951,24948,2026-02-26,2026-03-20
East West Bank,EWB-1000900,ARM,PRIV,Borrower 900,"4875 Main St, Unit 44",Residential Property (1-4 Units),CR1,VA,East,2,DIS,Jessica Taylor,2022-06-30,2052-06-22,2026-04-20,3717,Current,0,674515,0,1136753,1071265,2022-06-15,624,62.96,2025-12-18,1369,554,DDA-99077,20285,2026-03-10,2026-03-17
East West Bank,EWB-1000901,ARM,FNMA,Borrower 901,"4020 Main St, Unit 1",Commercial & Multi-Family (5+ Units),HE1,WA,North,4,M,Barbara Taylor,2022-10-06,2052-09-28,2026-04-20,3488,30-Day Delinquent,30,505253,0,611227,736229,2022-09-21,754,68.63,2025-12-29,4666,612,DDA-14815,4035,2026-03-13,2026-03-17
East West Bank,EWB-1000902,Conventional,FHLMC,Borrower 902,"5374 Main St, Unit 17",Residential Property (1-4 Units),LC1,FL,East,1,TRNS,Emily Watson,2022-05-06,2052-04-28,2026-04-20,1524,Current,0,708026,0,799991,736268,2022-04-21,745,96.16,2025-12-08,3790,742,DDA-46541,24156,2026-02-22,2026-03-19
East West Bank,EWB-1000903,Equity,PRIV,Borrower 903,"522 Main St, Unit 48",Commercial & Multi-Family (5+ Units),CS1,NY,North,1,REO,Matthew Moore,2023-03-07,2053-02-27,2026-04-20,1320,90-Day Delinquent,90,785212,4576,1193445,1337152,2023-02-20,694,58.72,2025-12-13,1871,8,DDA-64817,42014,2026-03-15,2026-03-17
East West Bank,EWB-1000904,ARM,FHLMC,Borrower 904,"5506 Main St, Unit 19",Commercial & Multi-Family (5+ Units),CS1,MA,South,1,FC,Thomas Thompson,2023-12-14,2053-12-06,2026-04-20,2190,Current,0,196335,0,379189,399193,2023-11-29,636,49.18,2025-12-16,2700,985,DDA-60457,33339,2026-03-02,2026-03-19
